serial,serial_norm,relation_type,color,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,last_seen,stockout_date,offset_days,reorder_date,should_order_now
$$,$$,contrat_adex,black,0,2090,,0.0,,2025-08-07 20:02:00,,0,,False
$$,$$,contrat_adex,black,1,335,-2.1282,0.0,0.0,2025-08-09 06:32:00,2025-08-09,0,2025-08-09,True
$$,$$,contrat_adex,black,2,54,-13.5295,0.0,0.0,2025-08-11 14:33:00,2025-08-11,0,2025-08-11,True
$$,$$,contrat_adex,black,3,71,-231.6632,0.0,0.0,2025-08-12 06:13:00,2025-08-12,0,2025-08-12,True
$$,$$,contrat_adex,black,4,28,-20.8528,0.0,0.0,2025-08-12 22:25:00,2025-08-12,0,2025-08-12,True
$$,$$,contrat_adex,black,5,124,-46.8654,0.0,0.0,2025-08-13 19:57:00,2025-08-13,0,2025-08-13,True
$$,$$,contrat_adex,black,6,83,-7.5021,0.0,0.0,2025-08-14 13:54:00,2025-08-14,0,2025-08-14,True
$$,$$,contrat_adex,black,7,16,-4589.934,0.0,0.0,2025-08-14 14:25:00,2025-08-14,0,2025-08-14,True
$$,$$,contrat_adex,black,8,304,-7.1988,0.0,0.0,2025-08-16 14:28:00,2025-08-16,0,2025-08-16,True
$$,$$,contrat_adex,black,9,31,-16.7466,0.0,0.0,2025-08-16 22:16:00,2025-08-16,0,2025-08-16,True
$$,$$,contrat_adex,black,10,71,-87.2848,0.0,0.0,2025-08-17 14:24:00,2025-08-17,0,2025-08-17,True
$$,$$,contrat_adex,black,11,903,-0.4562,0.0,0.0,2025-08-24 14:23:00,2025-08-24,0,2025-08-24,True
$$,$$,contrat_adex,black,12,881,-0.1281,0.0,0.0,2025-09-05 14:25:00,2025-09-05,0,2025-09-05,True
$$,$$,contrat_adex,black,13,477,-2.9109,0.0,0.0,2025-09-09 13:51:00,2025-09-09,0,2025-09-09,True
$$,$$,contrat_adex,black,14,173,-1.2436,0.0,0.0,2025-09-10 05:58:00,2025-09-10,0,2025-09-10,True
$$,$$,contrat_adex,black,15,86,-4.674,0.0,0.0,2025-09-12 17:55:00,2025-09-12,0,2025-09-12,True
$$,$$,contrat_adex,black,16,50,-18.3115,0.0,0.0,2025-09-15 14:06:00,2025-09-15,0,2025-09-15,True
$$,$$,contrat_adex,black,17,45,-47.5984,0.0,0.0,2025-09-15 18:36:00,2025-09-15,0,2025-09-15,True
$$,$$,contrat_adex,black,18,656,-0.7987,0.0,0.0,2025-09-18 11:28:00,2025-09-18,0,2025-09-18,True
$$,$$,contrat_adex,black,19,96,-3.6924,0.0,0.0,2025-09-19 13:07:00,2025-09-19,0,2025-09-19,True
$$,$$,contrat_adex,black,20,112,-2.0326,0.0,0.0,2025-09-22 13:37:00,2025-09-22,0,2025-09-22,True
$$,$$,contrat_adex,black,21,33,-15.2692,0.0,0.0,2025-09-23 06:03:00,2025-09-23,0,2025-09-23,True
$$,$$,contrat_adex,black,22,10,-43200.0,0.0,0.0,2025-09-23 06:07:00,2025-09-23,0,2025-09-23,True
$$,$$,contrat_adex,black,23,348,-7.6931,0.0,0.0,2025-09-24 13:02:00,2025-09-24,0,2025-09-24,True
