serial_display,color,last_update,last_pct
,black,2026-01-30 15:02:00,0
,cyan,2026-01-30 15:02:00,0
,magenta,2026-01-30 15:02:00,0
,yellow,2026-01-30 15:02:00,0
0000000000000000,black,2026-01-30 14:44:00,0
0000000000000000,cyan,2026-01-30 14:44:00,0
0000000000000000,magenta,2026-01-30 14:44:00,0
0000000000000000,yellow,2026-01-30 14:44:00,0
04422145140,black,2026-01-29 16:54:00,0
04422145140,cyan,2026-01-29 16:54:00,0
04422145140,magenta,2026-01-29 16:54:00,0
04422145140,yellow,2026-01-29 16:54:00,0
04422145231,black,2025-12-30 17:24:00,0
04422145231,cyan,2025-12-30 17:24:00,0
04422145231,magenta,2025-12-30 17:24:00,0
04422145231,yellow,2025-12-30 17:24:00,0
10324741,black,2026-01-30 14:33:00,0
10324741,cyan,2026-01-30 14:33:00,0
10324741,magenta,2026-01-30 14:33:00,0
10324741,yellow,2026-01-30 14:33:00,0
10498287,black,2026-01-30 14:32:00,0
10498287,cyan,2026-01-30 14:32:00,0
10498287,magenta,2026-01-30 14:32:00,0
10498287,yellow,2026-01-30 14:32:00,0
106603,black,2026-01-30 14:27:00,31
106603,cyan,2026-01-30 14:27:00,34
106603,magenta,2026-01-30 14:27:00,94
106603,yellow,2026-01-30 14:27:00,94
106638,black,2026-01-30 14:40:00,72
106638,cyan,2026-01-30 14:40:00,20
106638,magenta,2026-01-30 14:40:00,17
106638,yellow,2026-01-30 14:40:00,26
106640,black,2026-01-30 14:20:00,90
106640,cyan,2026-01-30 14:20:00,96
106640,magenta,2026-01-30 14:20:00,95
106640,yellow,2026-01-30 14:20:00,95
106643,black,2026-01-30 14:22:00,97
106643,cyan,2026-01-30 14:22:00,96
106643,magenta,2026-01-30 14:22:00,95
106643,yellow,2026-01-30 14:22:00,97
106713,black,2026-01-30 14:34:00,82
106713,cyan,2026-01-30 14:34:00,85
106713,magenta,2026-01-30 14:34:00,85
106713,yellow,2026-01-30 14:34:00,88
106714,black,2026-01-30 14:34:00,86
