serial;serial_norm;relation_type;color;cycle_id;points_used;slope_pct_per_day;level_now_pct;days_left_est;last_seen;stockout_date;offset_days;reorder_date;should_order_now;rs_n_cycles;rs_mean_cycle_len_days;rs_max_cycle_len_days;rs_last_seen;rs_last_reset;rs_days_since_last_reset;rs_has_reset;us_mean_daily_pct_drop;us_median_daily_pct_drop;us_peak_daily_pct_drop;us_mean_pct_drop_per_cycle;us_has_usage_data;m_total_pages;m_n_records;m_ratio_color;m_ratio_a3;m_daily_mean;m_daily_std;m_total_pages_last30;m_total_pages_last7;month;dayofweek;week;ml_offset_days_v21;last_seen_dt;stockout_date_ml_v21;days_left_ml_v21;reference_date;days_left_v21
$$;$$;contrat_adex;black;133;83;-24.8344;0.0;0.0;2026-01-29 14:42:00;2026-01-29;0;2026-01-29;True;134;9.253731343283581;996;2026-01-29 14:42:00;2026-01-28 14:34:00;1.0;1;0.0;0.0;0.0;84.90298507462687;1.0;;;;;;;;;1;3;5;0.0060746884;2026-01-29 14:42:00;2026-01-29 00:08:44.853077526;0.0;2026-01-29 14:42:00;0.0
$$;$$;contrat_adex;cyan;134;259;-2.3923;0.0;0.0;2026-01-29 14:42:00;2026-01-29;1;2026-01-28;True;135;9.044444444444444;665;2026-01-29 14:42:00;2026-01-26 22:04:00;2.0;1;0.0;0.0;0.0;84.11111111111111;1.0;;;;;;;;;1;3;5;0.9760285;2026-01-29 14:42:00;2026-01-29 23:25:28.862571720;0.0;2026-01-29 14:42:00;0.0
$$;$$;contrat_adex;magenta;138;259;-2.6212;0.0;0.0;2026-01-29 14:42:00;2026-01-29;-8;2026-02-06;True;139;8.805755395683454;665;2026-01-29 14:42:00;2026-01-26 22:04:00;2.0;1;0.0;0.0;0.0;83.99280575539568;1.0;;;;;;;;;1;3;5;-7.9967628;2026-01-29 14:42:00;2026-01-21 00:04:39.698181149;0.0;2026-01-29 14:42:00;0.0
$$;$$;contrat_adex;yellow;141;259;-2.6574;0.0;0.0;2026-01-29 14:42:00;2026-01-29;-11;2026-02-09;False;142;8.640845070422536;665;2026-01-29 14:42:00;2026-01-26 22:04:00;2.0;1;0.0;0.0;0.0;83.53521126760563;1.0;;;;;;;;;1;3;5;-10.98897;2026-01-29 14:42:00;2026-01-18 00:15:53.009033208;0.0;2026-01-29 14:42:00;0.0
$115552$;$115552$;contrat_adex;magenta;1;29;-1.5645;1.0;0.6;2026-01-29 14:33:00;2026-01-30;-8;2026-02-07;False;2;234.5;465;2026-01-29 14:33:00;2024-10-21 14:36:00;464.0;1;0.24087591240875914;0.0;20.0;49.5;1.0;;;;;;;;;1;3;5;-6.9682517;2026-01-29 14:33:00;2026-01-23 00:45:43.052673338;0.0;2026-01-29 14:33:00;0.0
$115552$;$115552$;contrat_adex;yellow;1;29;-1.0539;15.0;14.2;2026-01-29 14:33:00;2026-02-12;-11;2026-02-23;False;2;234.5;465;2026-01-29 14:33:00;2024-10-21 14:36:00;464.0;1;0.1966019417475728;0.0;15.0;42.5;1.0;;;;;;;;;1;3;5;-9.85236;2026-01-29 14:33:00;2026-02-02 03:32:36.115722658;3.0;2026-01-29 14:33:00;3.0
$210238$;$210238$;contrat_adex;black;1;29;-0.7956;7.0;8.8;2026-01-29 14:38:00;2026-02-07;0;2026-02-07;False;2;103.5;206;2026-01-29 14:38:00;2025-07-08 14:38:00;205.0;1;0.44527363184079605;0.0;4.0;45.5;1.0;;;;;;;;;1;3;5;-4.2461543;2026-01-29 14:38:00;2026-02-02 18:05:32.267761230;4.0;2026-01-29 14:38:00;3.0
$210239$;$210239$;contrat_adex;black;2;29;-0.2195;1.0;4.6;2026-01-29 14:38:00;2026-02-03;0;2026-02-03;True;3;69.0;163;2026-01-29 14:38:00;2025-08-20 14:38:00;162.0;1;0.9289340101522843;0.0;42.0;62.0;1.0;;;;;;;;;1;3;5;-2.7298467;2026-01-29 14:38:00;2026-01-31 06:29:01.243743899;1.0;2026-01-29 14:38:00;1.0
$3050318280$;$3050318280$;contrat_adex;cyan;1;29;-0.5677;1.0;1.8;2026-01-29 14:36:00;2026-01-31;1;2026-01-30;True;2;109.0;217;2026-01-29 14:36:00;2025-06-27 14:36:00;216.0;1;0.33452380952380956;0.0;2.0;33.0;1.0;;;;;;;;;1;3;5;-3.7114103;2026-01-29 14:36:00;2026-01-27 06:55:34.151458737;0.0;2026-01-29 14:36:00;0.0
$3050318280$;$3050318280$;contrat_adex;magenta;1;29;-0.7781;5.0;6.4;2026-01-29 14:36:00;2026-02-05;-8;2026-02-13;False;2;109.0;217;2026-01-29 14:36:00;2025-06-27 14:36:00;216.0;1;0.32023809523809527;0.0;2.0;34.0;1.0;;;;;;;;;1;3;5;-4.879339;2026-01-29 14:36:00;2026-01-31 02:53:45.091552739;1.0;2026-01-29 14:36:00;1.0
$3050911437$;$3050911437$;contrat_adex;cyan;0;23;-0.3964;4.0;10.1;2026-01-29 14:33:00;2026-02-08;1;2026-02-07;False;1;106.0;106;2026-01-29 14:33:00;;;0;0.6096459096459096;0.3333333333333333;3.0;56.0;1.0;;;;;;;;;1;3;5;-2.9749644;2026-01-29 14:33:00;2026-02-05 00:36:03.077545165;6.0;2026-01-29 14:33:00;6.0
$3356054066$;$3356054066$;contrat_adex;black;1;29;-1.3503;0.0;0.0;2026-01-29 11:09:00;2026-01-29;0;2026-01-29;True;2;66.5;118;2026-01-29 11:09:00;2025-10-03 14:39:00;117.0;1;0.7870370370370371;1.0;8.0;50.5;1.0;;;;;;;;;1;3;5;-2.2764506;2026-01-29 11:09:00;2026-01-26 17:21:54.665222167;0.0;2026-01-29 11:09:00;0.0
$3356054066$;$3356054066$;contrat_adex;yellow;1;29;-2.0158;20.0;9.9;2026-01-29 11:09:00;2026-02-08;-11;2026-02-19;False;2;66.5;118;2026-01-29 11:09:00;2025-10-03 14:39:00;117.0;1;0.7018348623853211;0.0;18.0;41.5;1.0;;;;;;;;;1;3;5;-9.19844;2026-01-29 11:09:00;2026-01-29 19:14:14.818725586;0.0;2026-01-29 11:09:00;0.0
$3392613691$;$3392613691$;contrat_adex;black;1;359;-0.7225;24.0;33.2;2025-02-28 13:06:00;2025-04-02;0;2025-04-02;False;2;322.5;586;2025-02-28 13:06:00;2024-12-31 14:38:00;58.0;1;0.08415841584158416;0.0;4.0;24.0;1.0;;;;;;;;;2;4;9;-1.5193768;2025-02-28 13:06:00;2025-03-31 11:32:05.848388676;30.0;2025-02-28 13:06:00;0.0
$3392613691$;$3392613691$;contrat_adex;cyan;1;359;-0.5651;82.0;145.1;2025-02-28 13:06:00;2025-07-23;1;2025-07-22;False;2;322.5;610;2025-02-28 13:06:00;2025-01-24 14:37:00;34.0;1;0.05408388520971302;0.0;3.0;9.0;1.0;;;;;;;;;2;4;9;0.9206265;2025-02-28 13:06:00;2025-07-23 22:05:42.131423947;145.0;2025-02-28 13:06:00;0.0
$3392613691$;$3392613691$;contrat_adex;magenta;1;359;-0.3811;74.0;194.2;2025-02-28 13:06:00;2025-09-10;-8;2025-09-18;False;2;322.5;594;2025-02-28 13:06:00;2025-01-08 14:38:00;50.0;1;0.05077262693156733;0.0;3.0;13.0;1.0;;;;;;;;;2;4;9;-6.562425;2025-02-28 13:06:00;2025-09-03 10:30:06.468200681;186.0;2025-02-28 13:06:00;0.0
$3392613934$;$3392613934$;contrat_adex;black;1;356;-0.438;81.0;184.9;2025-03-03 11:12:00;2025-09-04;0;2025-09-04;False;2;321.5;609;2025-03-03 11:12:00;2025-01-28 14:34:00;33.0;1;0.06051873198847262;0.0;3.0;9.5;1.0;;;;;;;;;3;0;10;0.09861665;2025-03-03 11:12:00;2025-09-04 02:22:00.478749276;184.0;2025-03-03 11:12:00;0.0
$3392613934$;$3392613934$;contrat_adex;cyan;1;356;-0.4738;50.0;105.5;2025-03-03 11:12:00;2025-06-17;1;2025-06-16;False;2;321.5;581;2025-03-03 11:12:00;2024-12-31 14:33:00;61.0;1;0.06340057636887608;0.0;2.0;15.0;1.0;;;;;;;;;3;0;10;-2.3770132;2025-03-03 11:12:00;2025-06-14 14:57:06.058959964;103.0;2025-03-03 11:12:00;0.0
$3392613934$;$3392613934$;contrat_adex;magenta;0;356;-0.3668;22.0;60.0;2025-03-03 11:12:00;2025-05-02;-8;2025-05-10;False;1;643.0;643;2025-03-03 11:12:00;;;0;0.043227665706051875;0.0;2.0;0.0;1.0;;;;;;;;;3;0;10;-8.286656;2025-03-03 11:12:00;2025-04-23 17:07:12.888793946;51.0;2025-03-03 11:12:00;0.0
$3392613934$;$3392613934$;contrat_adex;yellow;1;356;-0.3348;57.0;170.3;2025-03-03 11:12:00;2025-08-20;-11;2025-08-31;False;2;321.5;581;2025-03-03 11:12:00;2024-12-31 14:33:00;61.0;1;0.040345821325648415;0.0;2.0;10.5;1.0;;;;;;;;;3;0;10;-7.746998;2025-03-03 11:12:00;2025-08-12 06:04:19.387207028;161.0;2025-03-03 11:12:00;0.0
$3395382593$;$3395382593$;contrat_adex;magenta;0;23;-0.8427;1.0;1.2;2026-01-29 14:37:00;2026-01-30;-8;2026-02-07;False;1;126.0;126;2026-01-29 14:37:00;;;0;1.0555555555555556;1.0;4.0;69.0;1.0;;;;;;;;;1;3;5;-4.6735744;2026-01-29 14:37:00;2026-01-25 07:50:03.167724613;0.0;2026-01-29 14:37:00;0.0
